job_id,title,company,description,contract_type,location,category,created,salary_min,salary_max,salary_is_predicted,latitude,longitude,redirect_url,relevance_score,relevance_level,nlp_text,skills_found
5849923648,Data Analyst,Shuru Technologies Private Limited,"This is a remote position. Shuru is a self-managed technology team specializing in accelerating visions through product, technology, and AI leadership. With a focus on bespoke execution, we deliver impactful solutions that are scalable and designed for success. At Shuru, we deliver mobile solutions that meet and exceed customer expectations. Our collaborative and fast-paced environment encourages creativity and innovation. We are looking for a Senior Reporting Analyst with strong hands-on exper…",permanent,"Sanganer, Jaipur",IT Jobs,2026-08-21 01:15:50+00:00,,,0,26.9172,75.80805,https://www.adzuna.in/details/5849923648?utm_medium=api&utm_source=67045292,3,Medium,"data analyst this is a remote position. shuru is a self-managed technology team specializing in accelerating visions through product, technology, and ai leadership. with a focus on bespoke execution, we deliver impactful solutions that are scalable and designed for success. at shuru, we deliver mobile solutions that meet and exceed customer expectations. our collaborative and fast-paced environment encourages creativity and innovation. we are looking for a senior reporting analyst with strong hands-on exper…","['Data Analysis', 'Reporting']"
5817333511,Data Analyst,Emotions for Business,"Chi è il Data Analyst? È un professionista dotato delle competenze necessarie ad analizzare e aggregare i dati, al fine di studiare, ad esempio, l’andamento di un determinato prodotto e consentire, così, all’azienda di progettare i propri modelli di business in modo prospettico, con creazione di un vantaggio competitivo sul mercato. Il Data Analyst possiede competenze trasversali, che possono essere non solo tecniche ma anche statistiche, gestionali e di comunicazione. Tra le principali attivit…",,"Ajmer, Rajasthan",IT Jobs,2026-07-27 15:56:33+00:00,,,0,26.52495,74.604,https://www.adzuna.in/details/5817333511?utm_medium=api&utm_source=67045292,2,Medium,"data analyst chi è il data analyst? è un professionista dotato delle competenze necessarie ad analizzare e aggregare i dati, al fine di studiare, ad esempio, l’andamento di un determinato prodotto e consentire, così, all’azienda di progettare i propri modelli di business in modo prospettico, con creazione di un vantaggio competitivo sul mercato. il data analyst possiede competenze trasversali, che possono essere non solo tecniche ma anche statistiche, gestionali e di comunicazione. tra le principali attivit…",['Data Analysis']
5835481813,Senior Data Analyst,Seternity Solutions,"Key Responsibilities Analyze large datasets and generate insights Develop dashboards and automated reports Support business teams with data-driven analysis Improve data processes and reporting structures Review and validate analytical outputs Skills Advanced Excel and data analysis Data visualization tools (Power BI, Tableau) SQL or basic database querying Analytical problem solving Experience Required 2–4 years Education Required Bachelor’s or Master’s degree in Data Analytics, Statistics, Com…",,"Ajmer, Rajasthan",IT Jobs,2026-08-10 16:02:30+00:00,,,0,26.52495,74.604,https://www.adzuna.in/details/5835481813?utm_medium=api&utm_source=67045292,9,High,"senior data analyst key responsibilities analyze large datasets and generate insights develop dashboards and automated reports support business teams with data-driven analysis improve data processes and reporting structures review and validate analytical outputs skills advanced excel and data analysis data visualization tools (power bi, tableau) sql or basic database querying analytical problem solving experience required 2–4 years education required bachelor’s or master’s degree in data analytics, statistics, com…","['SQL', 'Excel', 'Power BI', 'Tableau', 'Data Analysis', 'Reporting', 'Data Visualization']"
5836846759,Data & Reporting Analyst (Credit Card Risk),Kadel Labs,"About Kadel Labs Kadel Labs is a deep-tech IT services company delivering high-quality technology solutions since 2017. We specialize in Digital Transformation, Data Engineering, Cloud, AI/ML, and Enterprise Applications, helping global enterprises build scalable and innovative solutions. Kadel Labs is a CMMI Level 3 and ISO 27001:2022 certified organization committed to engineering excellence and customer success. About the Role: Data & Reporting Analyst (Credit Card Risk) Role Purpose: Own ri…",,"Badgaon, Udaipur",IT Jobs,2026-08-11 20:59:03+00:00,,,0,24.55955,73.699,https://www.adzuna.in/details/5836846759?utm_medium=api&utm_source=67045292,3,Medium,"data & reporting analyst (credit card risk) about kadel labs kadel labs is a deep-tech it services company delivering high-quality technology solutions since 2017. we specialize in digital transformation, data engineering, cloud, ai/ml, and enterprise applications, helping global enterprises build scalable and innovative solutions. kadel labs is a cmmi level 3 and iso 27001:2022 certified organization committed to engineering excellence and customer success. about the role: data & reporting analyst (credit card risk) role purpose: own ri…","['Reporting', 'Data Engineering', 'Cloud', 'AI / ML']"
5777256344,Data Specialist,YipitData,"About YipitData: YipitData is the leading market research and analytics firm for the disruptive economy and recently raised up to $475M from The Carlyle Group at a valuation over $1B. We analyze billions of alternative data points every day to provide accurate, detailed insights on ridesharing, e-commerce marketplaces, payments, and more. Our on-demand insights team uses proprietary technology to identify, license, clean, and analyze the data many of the worlds largest investment funds and corp…",,"Jaipur, Rajasthan",Scientific & QA Jobs,2026-06-26 10:34:30+00:00,,,0,26.7441,75.9469,https://www.adzuna.in/details/5777256344?utm_medium=api&utm_source=67045292,3,Medium,"data specialist about yipitdata: yipitdata is the leading market research and analytics firm for the disruptive economy and recently raised up to $475m from the carlyle group at a valuation over $1b. we analyze billions of alternative data points every day to provide accurate, detailed insights on ridesharing, e-commerce marketplaces, payments, and more. our on-demand insights team uses proprietary technology to identify, license, clean, and analyze the data many of the worlds largest investment funds and corp…",[]
5369756037,Power BI Developer,Resources Valley,"Key Responsibilities: Design, develop, and maintain interactive dashboards and reports using Power BI and Looker. Write and optimize DAX queries to support complex business logic and calculations. Collaborate with data engineers, analysts, and business stakeholders to understand reporting needs and translate them into technical solutions. Ensure data accuracy, consistency, and performance across BI solutions. Perform data analysis and validation to support business initiatives. Automate and str…",,"Jaipur, Rajasthan",IT Jobs,2025-08-27 05:48:43+00:00,600000.0,1600000.0,0,26.7441,75.9469,https://www.adzuna.in/details/5369756037?utm_medium=api&utm_source=67045292,4,High,"power bi developer key responsibilities: design, develop, and maintain interactive dashboards and reports using power bi and looker. write and optimize dax queries to support complex business logic and calculations. collaborate with data engineers, analysts, and business stakeholders to understand reporting needs and translate them into technical solutions. ensure data accuracy, consistency, and performance across bi solutions. perform data analysis and validation to support business initiatives. automate and str…","['Power BI', 'Data Analysis', 'Reporting', 'Data Engineering']"
5827168805,Business Analyst,Decipher Zone Technologies,"Business Analyst (International Sales) About Decipher Zone Technologies Decipher Zone Technologies is a leading software development and IT consulting company delivering innovative digital solutions to clients worldwide. We specialize in Web & Mobile App Development, AI/ML, Cloud Solutions, DevOps, UI/UX Design, Enterprise Software, and Custom Software Development. With a commitment to innovation, quality, and customer satisfaction, we help businesses transform ideas into scalable technology so…",,"Jaipur, Rajasthan",Sales Jobs,2026-08-04 06:38:35+00:00,,,0,26.7441,75.9469,https://www.adzuna.in/details/5827168805?utm_medium=api&utm_source=67045292,2,Medium,"business analyst business analyst (international sales) about decipher zone technologies decipher zone technologies is a leading software development and it consulting company delivering innovative digital solutions to clients worldwide. we specialize in web & mobile app development, ai/ml, cloud solutions, devops, ui/ux design, enterprise software, and custom software development. with a commitment to innovation, quality, and customer satisfaction, we help businesses transform ideas into scalable technology so…","['Cloud', 'AI / ML']"
5848055985,Business Analyst,Resources Valley,"Role Overview We are looking for a proactive and detail-oriented Business Analyst with strong communication and analytical skills to support requirement gathering, client coordination, and project execution activities. The ideal candidate should possess good aptitude, structured thinking, and the ability to work closely with cross-functional teams in a fast-paced delivery environment. Key Responsibilities ●Gather, analyze, and document business and functional requirements ●Coordinate with clien…",,"Jaipur, Rajasthan",IT Jobs,2026-08-19 16:03:45+00:00,1000000.0,1800000.0,0,26.7441,75.9469,https://www.adzuna.in/details/5848055985?utm_medium=api&utm_source=67045292,2,Medium,"business analyst role overview we are looking for a proactive and detail-oriented business analyst with strong communication and analytical skills to support requirement gathering, client coordination, and project execution activities. the ideal candidate should possess good aptitude, structured thinking, and the ability to work closely with cross-functional teams in a fast-paced delivery environment. key responsibilities ●gather, analyze, and document business and functional requirements ●coordinate with clien…",[]
5723926098,Business analyst,Pericent BPMDMS software,"Job Title: Pre-Sales Consultant Department: Sales Location: Jaipur, Rajasthan (Full-time, in-office with demo travel) Employment Type: Full-Time, Permanent Experience Required: 2–4 Years Open Positions: 1 Role Summary We are looking for a skilled Pre-Sales Consultant to support our growing sales pipeline by delivering impactful product demonstrations and handling technical engagements. The candidate will play a critical role in driving technical wins during the sales cycle, with deep expertise …",permanent,"Jaipur, Rajasthan",IT Jobs,2026-05-09 12:15:06+00:00,300000.0,500000.0,0,26.7441,75.9469,https://www.adzuna.in/details/5723926098?utm_medium=api&utm_source=67045292,2,Medium,"business analyst job title: pre-sales consultant department: sales location: jaipur, rajasthan (full-time, in-office with demo travel) employment type: full-time, permanent experience required: 2–4 years open positions: 1 role summary we are looking for a skilled pre-sales consultant to support our growing sales pipeline by delivering impactful product demonstrations and handling technical engagements. the candidate will play a critical role in driving technical wins during the sales cycle, with deep expertise …",[]
5434759664,Senior Business Analyst,Talentvibes Solutions,"Senior Business Analyst Job Summary We are seeking an experienced Senior Business Analyst to lead business analysis activities, collaborate with senior management, and contribute to strategic initiatives that align with the organization's goals. The Senior Business Analyst will play a key role in driving business process improvements, optimizing efficiency, and ensuring the successful execution of projects. The role involves working with cross-functional teams, providing leadership and mentorsh…",,"Jaipur, Rajasthan",IT Jobs,2025-10-07 06:43:38+00:00,1000000.0,1400000.0,0,26.7441,75.9469,https://www.adzuna.in/details/5434759664?utm_medium=api&utm_source=67045292,2,Medium,"senior business analyst senior business analyst job summary we are seeking an experienced senior business analyst to lead business analysis activities, collaborate with senior management, and contribute to strategic initiatives that align with the organization's goals. the senior business analyst will play a key role in driving business process improvements, optimizing efficiency, and ensuring the successful execution of projects. the role involves working with cross-functional teams, providing leadership and mentorsh…",[]
